ID,Category,Pos_b,Pos_e,Privacy
0,movie,0,10,《别告诉我你懂ppt》
0,position,14,17,项目管理
0,book,24,31,《让营销更性感》
0,position,33,34,作者
0,name,35,36,李治
0,position,46,48,项目管
0,movie,58,68,《别告诉我你懂ppt》
0,position,70,71,作者
1,name,0,1,魏领
1,organization,3,17,河南珍宝艺术文物书画司法鉴定所
1,position,18,19,所长
1,position,21,33,国家文物艺术品司法鉴定专家
1,position,35,44,河南省现代艺术院院长
1,position,46,56,拾文化合作司法鉴定专家
1,position,58,60,书画家
1,organization,63,77,河南珍宝艺术文物书画司法鉴定所
1,position,78,79,所长
2,scene,3,5,长滩岛
2,scene,41,43,博物馆
3,position,63,64,作家
3,name,65,67,李惟七
3,book,73,78,《天下不帅》
3,book,79,84,《以貌娶人》
3,book,85,90,《驸马非马》
4,position,0,4,网络媒体人
4,position,5,9,导演摄影师
4,position,58,63,省摄影家协会
4,position,64,65,会员
4,position,67,81,gzipp广告专业摄影师委员会
4,name,84,86,林肇生
4,position,88,99,南都奥一首席技术官cto
4,position,103,104,时尚
4,position,105,107,摄影师
5,position,0,8,中国书法家协会会员
5,position,9,17,北京书法家协会理事
5,position,18,26,北亰篆刻委员会委员
5,position,27,35,中国佛教书画院院士
5,position,36,42,中国美术家电视
5,company,50,63,北京久承集贤文化发展有限公司
5,position,64,67,艺术总监
5,position,76,80,书法篆刻家
5,position,82,90,中国书法家协会会员
5,position,92,100,北京书法家协会理事
6,position,0,10,中国意彩仕女画派创始人
6,position,12,23,中国美协培训中心特聘教授
6,position,34,42,陕西唐人书画院院长
6,movie,58,60,红河谷
6,position,62,64,题字作
6,position,68,69,画家
6,name,70,71,孙光
6,position,86,94,陕西唐人书画院院长
6,position,96,106,中国意彩仕女画派创始人
7,position,66,68,小画家
8,company,4,12,重庆君融律师事务所
8,position,13,14,律师
8,name,15,16,董浩
8,address,38,40,乌审旗
8,government,49,51,人居委
8,government,53,55,乌审旗
8,government,72,79,武汉市国土房产局
8,government,84,94,武汉市国土房产测绘中心
8,movie,98,105,长夜漫漫路迢迢》
8,name,112,115,纳博科夫
8,book,117,120,《洛丽塔
8,movie,125,133,《一枝梨花压海棠》
8,address,135,136,香港
9,organization,0,18,disregardforgravity
9,position,37,40,种子教师
10,position,12,16,职业经理人
10,scene,38,41,香格里拉
10,position,71,74,市场总监
11,address,19,22,金贸中心
12,organization,0,10,美国项目管理协会pmi
12,position,14,25,全国房地产经理人联盟理事
12,organization,27,37,百锐（中国）地产研究所
12,position,38,42,高级研究员
12,position,60,67,项目管理专家顾问
12,name,68,70,兰国胜
12,position,71,71,博
13,position,0,3,香港演員
13,name,4,6,朱咪咪
13,mobile,14,24,13401017766
13,name,25,27,鐘志佳
13,name,53,55,朱咪咪
13,movie,60,65,《陀枪师姐》
13,movie,67,74,《金装四大才子》
13,movie,76,81,《月满轩尼诗
14,name,50,51,童仝
14,position,72,73,作家
14,position,74,75,编剧
15,movie,17,20,《背心》
15,name,50,52,吕小姐
15,mobile,53,64,139113605158
16,company,56,63,每日经济新闻公司
16,position,67,68,记者
16,name,69,69,关
17,company,0,5,北京时间传媒
17,position,6,8,董事长
17,movie,10,15,《中国地产》
17,company,55,62,北京时间传媒公司
17,position,63,66,执行董事
17,position,68,72,首席营销官
18,position,59,60,歌手
19,address,6,8,加拿大
19,name,11,12,乔尔
20,position,8,9,影師
20,position,18,21,談判專家
20,position,72,78,香港警队总督察
20,position,80,83,谈判专家
21,position,2,10,茉莉女子国乐团团长
21,position,12,21,成都徐悲鸿画院秘书长
21,position,23,30,中华全国青联委员
